cluster_id,headline,published_at,urls,sources,tickers,topics
f3cf4478c67d00d94556268e0c83dcd8,Governo Trump troca foto de Biden por caneta automática na Casa Branca; veja vídeo,2025-09-25T03:06:41.599312+00:00,https://www1.folha.uol.com.br/mundo/2025/09/governo-trump-troca-foto-de-biden-por-caneta-automatica-na-casa-branca-veja-video.shtml,www1.folha.uol.com.br,,
538f3d6043b38455c1814a4f3986c0b9,Palmeiras vence River Plate (3-1) e vai às semifinais da Libertadores,2025-09-25T03:06:41.599362+00:00,https://noticias.uol.com.br/ultimas-noticias/afp/2025/09/24/palmeiras-vence-river-plate-3-1-e-vai-as-semifinais-da-libertadores-ercagaam.htm,noticias.uol.com.br,,
243aae367195cfe58d09005ecb184fe4,Palmeiras derruba River e chega à sua quinta semifinal em seis Libertadores,2025-09-25T03:06:41.599402+00:00,https://www1.folha.uol.com.br/esporte/2025/09/palmeiras-derruba-river-e-chega-a-sua-quinta-semifinal-em-seis-libertadores.shtml,www1.folha.uol.com.br,,
6ad29617271a8f7fd52d8529dd0a61de,Flamengo visita Estudiantes por vaga nas semifinais da Libertadores,2025-09-25T03:06:41.599439+00:00,https://noticias.uol.com.br/ultimas-noticias/afp/2025/09/24/flamengo-visita-estudiantes-por-vaga-nas-semifinais-da-libertadores.htm,noticias.uol.com.br,,
a7ebeb026e8b2f4380d5b838e568d91d,"Centrão vê 3º fracasso de PEC da Blindagem em 4 anos, dessa vez com Senado posando de bom-moço",2025-09-25T03:06:41.599476+00:00,https://www1.folha.uol.com.br/poder/2025/09/centrao-ve-3o-fracasso-de-pec-da-blindagem-em-4-anos-dessa-vez-com-senado-posando-de-bom-moco.shtml,www1.folha.uol.com.br,,
bacbc73ab18f0ac5103c96fb6800a10d,"Reação popular à PEC da Blindagem surpreendeu centrão, dizem parlamentares",2025-09-25T03:06:41.599513+00:00,https://www1.folha.uol.com.br/colunas/painel/2025/09/reacao-popular-a-pec-da-blindagem-surpreendeu-centrao-dizem-parlamentares.shtml,www1.folha.uol.com.br,,
88f8cfcfc8e1d4d1a7ac0b66dd335ad8,Agro quer financiamento climático para produtores rurais e lista demandas à COP30,2025-09-25T03:06:41.599550+00:00,https://www1.folha.uol.com.br/ambiente/2025/09/agro-quer-financiamento-climatico-para-produtores-rurais-e-lista-demandas-a-cop30.shtml,www1.folha.uol.com.br,,
4625fd4a13be55fe2c40b2fb835ddecb,Espanhola Rosa Montero estreia na CasaFolha; saiba como ver o curso de escrita criativa,2025-09-25T03:06:41.599586+00:00,https://www1.folha.uol.com.br/poder/2025/09/espanhola-rosa-montero-estreia-na-casafolha-saiba-como-ver-o-curso-de-escrita-criativa.shtml,www1.folha.uol.com.br,,
fb3adba78eeb69aa491d2adae3b43047,Feira em São Paulo traz queijos artesanais paulistas que foram premiados na França,2025-09-25T03:06:41.599622+00:00,https://guia.folha.uol.com.br/restaurantes/2025/09/feira-em-sao-paulo-traz-queijos-artesanais-paulistas-que-foram-premiados-na-franca.shtml,guia.folha.uol.com.br,,
58087fc006feedd3e363040342a45e4d,'Uma Batalha Atrás da Outra' e musical 'Hamilton' chegam aos cinemas de São Paulo,2025-09-25T03:06:41.599658+00:00,https://guia.folha.uol.com.br/cinema/2025/09/uma-batalha-atras-da-outra-e-musical-hamilton-chegam-aos-cinemas-de-sao-paulo.shtml,guia.folha.uol.com.br,,
