cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
bacbc73ab18f0ac5103c96fb6800a10d,0.9861,0.6,0.0958,0.1576,0.8241,0.0,0.0,0.85,34.39,DROP
f261e3dc50b9f154f14760d635197192,0.8372,0.6,0.3828,0.2859,0.9454,0.0,0.0,0.85,34.19,DROP
84bccbbc2668fea2b6a583f218083a10,0.4727,0.6,0.3118,0.2446,0.6997,0.75,0.0,0.85,33.95,DROP
3baaba33992e71457e9ac52acb0a9c50,0.774,0.6,0.3192,0.2086,0.6851,0.0,0.0,0.85,33.83,DROP
4d44dda5bc01f9b94d86f3d139b03956,0.5683,0.6,0.687,0.146,0.9049,0.0,0.0,0.85,33.37,DROP
c7c84eae88e6d974aeee34bacc6db015,0.743,0.6,0.5684,0.0831,0.8557,0.0,0.0,0.85,33.37,DROP
5c9f81a594531db65b727edd48ef030b,0.6495,0.6,0.5628,0.2261,0.8935,0.0,0.0,0.85,33.24,DROP
fdfc312229153b6f6ab9590a18088a3a,0.4489,0.6,0.6959,0.4488,0.7795,0.0,0.0,0.85,33.05,DROP
162d0a51e7d1767211b472a45ffc500e,0.4195,0.6,0.5194,0.396,0.6352,0.0,0.0,0.85,32.38,DROP
16d53e797cdaf4698ada550c09512c6a,0.546,0.6,0.3375,0.2918,0.8291,0.0,0.0,0.85,32.2,DROP
b936d9979f03d17325eb51dcbc55b77d,0.1753,0.88,0.6806,0.0594,0.6719,0.0,0.0,0.85,31.99,DROP
5fa7d480a7f5516d5878056be8f415ab,0.4883,0.6,0.0612,0.0006,0.7678,1.0,0.0,0.85,31.92,DROP
6cba86494233a7e2fd1d5b756c536e72,0.5503,0.6,0.0453,0.0606,0.9777,0.75,0.0,0.85,31.82,DROP
88013aab2a80138525689af707b11e93,0.4502,0.6,0.6703,0.446,0.6464,0.0,0.0,0.85,31.67,DROP
511ab068bcb13030996f0183b966444d,0.4696,0.6,0.6543,0.1016,0.9839,0.0,0.0,0.85,31.66,DROP
39020e78744e75065a43f335d7400d14,0.5047,0.6,0.1072,0.1227,0.8492,0.75,0.0,0.85,31.57,DROP
688b3e39399839f87ea457bbc8d7486d,0.5017,0.88,0.3163,0.0819,0.6358,0.0,0.0,0.85,31.23,DROP
bd2436eac04b817bedcad85b36597869,0.4445,0.6,0.5416,0.3799,0.9,0.0,0.0,0.85,31.06,DROP
81a8928ea497649862e8ade2f42a65b5,0.4448,0.6,0.6765,0.3924,0.6025,0.0,0.0,0.85,30.95,DROP
d3f0a861494d67a4ad51c5b393d78d54,0.494,0.6,0.568,0.2125,0.8557,0.0,0.0,0.85,30.61,DROP
d9e616ef8b0bbc2560713169bb609f94,0.5619,0.6,0.4352,0.0162,0.6808,0.0,0.0,0.85,30.53,DROP
5d315bb79369d5111132f9e5156c63a1,0.5059,0.6,0.2621,0.3704,0.7775,0.0,0.0,0.85,30.46,DROP
242a710ff6504b6fbb242d9075db267c,0.4345,0.6,0.6566,0.0297,0.9585,0.0,0.0,0.85,30.45,DROP
f13b503913d3ad4258cbe6a7826a4c01,0.4977,0.6,0.0898,0.2193,0.7783,0.65,0.0,0.85,30.28,DROP
971be0c6d18a3b5a5d12fb5d5ecdc00f,0.4706,0.88,0.0607,0.4646,0.6848,0.0,0.0,0.85,30.02,DROP
e0ac5547ce06aa93d5e1e4c936966739,0.4293,0.6,0.4174,0.4286,0.9879,0.0,0.0,0.85,29.99,DROP
5e4928fea37f5d0db93dd07cf01f16d4,0.4762,0.6,0.6182,0.0154,0.8896,0.0,0.0,0.85,29.87,DROP
0d63ae4dcfe9ba9d4e6496586bde3047,0.489,0.6,0.3974,0.3784,0.9407,0.0,0.0,0.85,29.86,DROP
db68f533d44e238c86b8bdad3e39c315,0.426,0.6,0.4735,0.4289,0.6216,0.75,0.0,0.85,29.83,DROP
39133d336975eb757ddf0d3ebe765d10,0.4696,0.6,0.4311,0.3262,0.9502,0.0,0.0,0.85,29.75,DROP
0f98548098394eb07943cf59aab49f1c,0.4312,0.6,0.5125,0.2742,0.8993,0.0,0.0,0.85,29.63,DROP
7c5f7fca0c60f531db259b52b86d0834,0.4258,0.6,0.5287,0.2262,0.9146,0.0,0.0,0.85,29.54,DROP
259b675d57dc8502a3649d059feb930b,0.4763,0.88,0.1576,0.265,0.6218,0.0,0.0,0.85,29.54,DROP
8cdd62d8774b0ed26ddc3156dd3fbbae,0.4615,0.6,0.4529,0.4023,0.8141,0.0,0.0,0.85,29.51,DROP
e075c2b0f8be6ec0e2f4e39cf66b9940,0.4561,0.6,0.5518,0.2761,0.7497,0.0,0.0,0.85,29.48,DROP
700067bff686d4793f986add017471d4,0.5182,0.6,0.1895,0.4995,0.6424,0.0,0.0,0.85,29.39,DROP
167e405fe2c92f118255529aa98ddefe,0.2461,0.88,0.333,0.2429,0.7324,0.0,0.0,0.85,29.35,DROP
941cbe346fa3decbfe830a35e15f9f27,0.5132,0.6,0.4261,0.3702,0.7721,0.0,0.0,0.85,29.33,DROP
39e09aa816cdb6d12094b16ec9a989e1,0.4646,0.6,0.5654,0.2386,0.7087,0.0,0.0,0.85,29.23,DROP
d36e22d4d6de6bf5fe6fdd477f1ba6da,0.474,0.6,0.5576,0.3201,0.6229,0.0,0.0,0.85,29.22,DROP
8d4b4106c2d0f5dfd6749953e975592f,0.6923,0.6,0.3412,0.0287,0.8975,0.0,0.0,0.85,29.12,DROP
ada0fb211c2dc5cf7b67776df9418fd3,0.457,0.6,0.07,0.1662,0.8488,0.6,0.0,0.85,28.94,DROP
7987a4a1109582a7ec0fbff00105bf80,0.1915,0.88,0.366,0.2669,0.698,0.0,0.0,0.85,28.9,DROP
