cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,total,decision
f35a53f1ab8eb662699cb8d149d0ac68,0.7416,0.6,0.0,0.0,1.0,1.0,0.8889,77.97,POST
cfa8d9980aae29a17f96a70bc88320f1,0.7946,0.6,0.0,0.0,1.0,1.0,0.8182,77.97,POST
a16f2cdff5fb9b605295b57b15700adc,0.7332,0.6,0.0,0.0,1.0,1.0,0.9,77.96,POST
88dc03c2bdd6352b133eed4055a62588,0.7328,0.88,0.0,0.0,1.0,0.75,0.9286,77.92,POST
33ab631593fc7e9810582550ab7ff026,0.8435,0.6,0.0,0.0,1.0,1.0,0.75,77.92,POST
3ddb10dea5383951efaf081ff6872245,0.8136,0.6,0.0,0.0,1.0,1.0,0.7895,77.91,POST
5b9fb8d908c26478825bcc4992820eba,0.7455,0.6,0.0,0.0,1.0,1.0,0.88,77.91,POST
c6d634e798f9b4361f8f3e6d3cbb88ff,0.7877,0.6,0.0,0.0,1.0,1.0,0.8235,77.91,POST
502bd28c7043626f8f80ff536217a286,0.7957,0.6,0.0,0.0,1.0,1.0,0.8125,77.9,POST
f91afe3f80041872e96141c9d0eccfee,0.8462,0.6,0.0,0.0,0.872,1.0,0.8889,77.88,POST
942cb273ae2804dea4e4775db04ce533,0.766,0.9,0.0,0.0,1.0,0.75,0.8571,77.88,POST
65c3913f6463e379b69942a9f24fff14,0.7605,0.6,0.0,0.0,1.0,1.0,0.8571,77.87,POST
4f57d53c6017056e07f921c605ef95c5,0.8513,0.86,0.0,0.0,1.0,0.75,0.7895,77.85,POST
7f13c42a2f15a8cbd739e3d77fc0cd08,0.7772,0.88,0.0,0.0,1.0,0.75,0.8636,77.84,POST
f41c025d2433015fbdfb2144995e24c4,0.7445,0.6,0.0,0.0,1.0,1.0,0.875,77.81,POST
ba2ec0e55fc53dff837b08079cdbf1c0,0.825,0.6,0.0,0.0,1.0,1.0,0.7647,77.77,POST
59de2e868bf28007ff824bae92d25103,0.6812,0.98,0.0,0.0,1.0,0.75,0.8667,77.76,POST
bcd13a08280c5a59784d2e2ea5cc6c9c,0.7549,0.6,0.0,0.0,1.0,1.0,0.8571,77.75,POST
5539712eff989af5e485949a0ae93f85,0.7452,0.6,0.0,0.0,1.0,1.0,0.8696,77.75,POST
1cb7073301386c7bb1453a441fd81eb8,0.8065,0.6,0.0,0.0,0.9228,1.0,0.875,77.74,POST
2940ee2bf896d8a39c0b65894d2e2c4e,0.7542,0.6,0.0,0.0,1.0,1.0,0.8571,77.74,POST
1274bb098ecbefabfc14ebde6330f3b8,0.8061,0.6,0.0,0.0,0.9228,1.0,0.875,77.74,POST
aec052892940cc6d32a00d512680abdf,0.7503,0.88,0.0,0.0,1.0,0.75,0.8889,77.68,POST
3380f5fb396b2859a76eda5a03468497,0.7244,0.88,0.0,0.0,1.0,0.75,0.9231,77.67,POST
422fc4c6bde2e9d5a942832be2ae2ad0,0.8197,0.6,0.0,0.0,0.9484,1.0,0.8235,77.67,POST
50504f4de0f611b4328cfe6012d84c09,0.7703,0.9,0.0,0.0,0.9742,0.75,0.8667,77.67,POST
561a5335d716f75eb4b71812aaba399b,0.7407,0.6,0.0,0.0,1.0,1.0,0.8696,77.66,POST
5e6bcc04c0e0c2e128cb35c10af11d47,0.775,0.6,0.0,0.0,1.0,1.0,0.8235,77.65,POST
84a6704616213b5cce91f47715af4cac,0.8597,0.6,0.0,0.0,1.0,0.9,0.8571,77.65,POST
67955dc6f124acca38ac6a388fb42c73,0.7403,0.6,0.0,0.0,1.0,1.0,0.8667,77.61,POST
6f9c7ad804c47069bd85077d9c06667e,0.7698,0.88,0.0,0.0,1.0,0.75,0.8571,77.59,POST
42ffbad80d7ca60a279d1b980ccc315a,0.8605,0.6,0.0,0.0,1.0,0.9,0.8519,77.59,POST
a1623b03918b816e1ec94f61f1d08f5a,0.7455,0.88,0.0,0.0,1.0,0.75,0.8889,77.58,POST
fb5e4cbdf07210ebb5cec80e1e006de6,0.741,0.6,0.0,0.0,1.0,1.0,0.8636,77.58,POST
5eb1ee80cef5d2347b7e0024a26b5081,0.7665,0.96,0.0,0.0,0.9228,0.75,0.8519,77.58,POST
3492097ee68ce2585d12c479cb7cf5e1,0.8117,0.88,0.0,0.0,1.0,0.75,0.8,77.57,POST
586aa30f8709a3abe5116fb435951d95,0.8093,0.86,0.0,0.0,1.0,0.75,0.8261,77.56,POST
f7a319c59f47199085b466c2462b0075,0.8408,0.6,0.0,0.0,1.0,0.9,0.875,77.54,POST
7f4b1ef00f70574d678678f785fb79a8,0.7779,0.86,0.0,0.0,1.0,0.75,0.8667,77.54,POST
ba1942655bc6964f4e4244201bb40793,0.7843,0.9,0.0,0.0,1.0,0.75,0.8095,77.53,POST
e6d1f9b734655e7f016b402404e81a36,0.7776,0.88,0.0,0.0,1.0,0.75,0.8421,77.52,POST
d89f250489386772c7e26b2ac48f2172,0.7843,0.9,0.0,0.0,0.5785,1.0,0.92,77.52,POST
fea722f7e213aa8e04e4ba0e0b5f25ef,0.7683,0.6,0.0,0.0,1.0,1.0,0.8235,77.52,POST
e1755d2275c98ed3b8541f9eb96110ea,0.7427,0.9,0.0,0.0,1.0,0.75,0.8636,77.51,POST
aac37e2bd9c5cc3b321bd7613c570c08,0.722,0.6,0.0,0.0,1.0,1.0,0.8846,77.51,POST
7fe73d7d1fc0289c9b5546616947f2b2,0.802,0.6,0.0,0.0,1.0,1.0,0.7778,77.51,POST
55722eb6ff06cb84c1d520714019b46d,0.7102,0.6,0.0,0.0,1.0,1.0,0.9,77.5,POST
4e42d7f2aa70c67d7f330ceb496e8775,0.7108,0.6,0.0,0.0,0.9836,1.0,0.9167,77.49,POST
d54e55050718c562adc34c9277844cb0,0.751,0.88,0.0,0.0,1.0,0.75,0.875,77.48,POST
26f43d9a672ddea9c53c956a79ebae30,0.7841,0.6,0.0,0.0,1.0,1.0,0.8,77.48,POST
